Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb354119716 | ISBN 2803419939 | ;35411971;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (10) | ;1;Bruno aime Mélanie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 10) | Code à barres commercial : EAN 9782803419937 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb354119716 | ISBN 2803419939 | ;35411971;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14706 | ;2;Bruno aime Mélanie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 10) | Code à barres commercial : EAN 9782803419937 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb354119778 | ISBN 2803419920 | ;35411977;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (9) | ;1;Carole et le passage secret / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 9) | Code à barres commercial : EAN 9782803419920 | ";;;fre | français | ;"125 p. : ill. couv. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb354119778 | ISBN 2803419920 | ;35411977;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14715 | ;2;Carole et le passage secret / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 9) | Code à barres commercial : EAN 9782803419920 | ";;;fre | français | ;"125 p. : ill. couv. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411994v | ISBN 2803419882 | ;35411994;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (5) | ;1;Carole et les trois monstres / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 5) | Code à barres commercial : EAN 9782803419883 | ";;;fre | français | ;"124 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411994v | ISBN 2803419882 | ;35411994;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14716 | ;2;Carole et les trois monstres / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 5) | Code à barres commercial : EAN 9782803419883 | ";;;fre | français | ;"124 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411987k | ISBN 2803419890 | ;35411987;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (6) | ;1;Un grand jour pour Valérie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 6) | Code à barres commercial : EAN 9782803419890 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411987k | ISBN 2803419890 | ;35411987;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14731 | ;2;Un grand jour pour Valérie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 6) | Code à barres commercial : EAN 9782803419890 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411999k | ISBN 280341984X | ;35411999;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (1) | ;1;L'idée géniale de Valérie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des baby-sitters ; 1) | Code à barres commercial : EAN 9782803419845 | ";;;fre | français | ;"124 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411999k | ISBN 280341984X | ;35411999;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14734 | ;2;L'idée géniale de Valérie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des baby-sitters ; 1) | Code à barres commercial : EAN 9782803419845 | ";;;fre | français | ;"124 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb354120055 | ISBN 2803419858 | ;35412005;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (2) | ;1;Julie et le visiteur fantôme / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 2) | Code à barres commercial : EAN 9782803419852 | ";;;fre | français | ;"123 p. : couv.ill.en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb354120055 | ISBN 2803419858 | ;35412005;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14735 | ;2;Julie et le visiteur fantôme / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 2) | Code à barres commercial : EAN 9782803419852 | ";;;fre | français | ;"123 p. : couv.ill.en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411963k | ISBN 2803419904 | ;35411963;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (7) | ;1;Julie n'a pas de chance / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 7) | Code à barres commercial : EAN 9782803419906 | ";;;fre | français | ;"123 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35411963k | ISBN 2803419904 | ;35411963;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14736 | ;2;Julie n'a pas de chance / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 7) | Code à barres commercial : EAN 9782803419906 | ";;;fre | français | ;"123 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35412007v | ISBN 2803419955 | ;35412007;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (12) | ;1;La nouvelle amie de Julie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 12) | Code à barres commercial : EAN 9782803419951 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35412007v | ISBN 2803419955 | ;35412007;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14769 | ;2;La nouvelle amie de Julie / Ann M. Martin;Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1990;"Collection : (Le club des babysitters ; 12) | Code à barres commercial : EAN 9782803419951 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
