web-scraper-order,web-scraper-start-url,bookurl,bookurl-href,booktitle,bookseries,booknumber,bookauthor,bookcoverart,booktagline,publication,wikipagetext
"1585612174-24","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/The_Truth_About_Stacey","https://babysittersclub.fandom.com/wiki/The_Truth_About_Stacey","The Truth About Stacey","The Baby-Sitters Club","3","Ann M. Martin","Dale Dyer (original) 
 Hodges Soileau (1995 reprint)","Stacey's different...and it's harder on her than anyone knows.","December 1986 (original) 
 September 1995 (reprint) 
 May 5, 2020 (reprint)","Stacey's parents have been looking for a cure for her diabetes, dragging her to doctor from doctor (including a holistic doctor) which makes Stacey unhappy."
"1585612363-309","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Poor_Mallory!","https://babysittersclub.fandom.com/wiki/Poor_Mallory!","Poor Mallory!","The Baby-Sitters Club","39","Ann M. Martin","Hodges Soileau","Why can't everyone live like this?","November 1990","Poor Mallory! She needs the Baby-sitters now more than ever!"
"1585612455-443","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Music_Box_Secret","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Music_Box_Secret","Mary Anne and the Music Box Secret","The Baby-Sitters Club Mystery","31","Ann M. Martin, Ellen Miles","Hodges Soileau","No one was supposed to find this...ever!","August 1997","While cleaning up Granny and Pop-Pop's house after a flood, Mary Anne finds a secret panel in the basement wall. Hidden behind it is a package marked with a threatening curse."
"1585612572-645","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy%27s_Great_Idea","https://babysittersclub.fandom.com/wiki/Kristy%27s_Great_Idea","Kristy's Great Idea","The Baby-Sitters Club","1","Ann M. Martin","Dale Dyer (1986)
Hodges Soileau (1995)","Four friends and baby-sitting — what could be more fun?","August 1986 (original) 
 September 1995 (reprint) 
 September 2001 (reprint) 
 March 2010 (reprint) 
 May 5, 2020 (reprint)","Kristy's divorced mother, Elizabeth Thomas-Brewer, has been dating a new guy, Watson Brewer, and Kristy is feeling cautious about him. He seems like a good guy, but Kristy's real father, Patrick Thomas, walked out on the family, leaving Elizabeth to look after four kids on her own, including a newborn baby (David Michael). Kristy doesn't want to get hurt again and has to decide whether to hate his guts or to open up to him, taking the chance that he'll hurt her, just like her father did to her, emotionally. Kristy must decide whether it's worth the pain to love a new (almost) father again."
"1585612693-850","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Jessi%27s_Secret_Language","https://babysittersclub.fandom.com/wiki/Jessi%27s_Secret_Language","Jessi's Secret Language","The Baby-Sitters Club","16","Ann M. Martin","Hodges Soileau","Jessi's learning a secret language for a very special child.","September 1988 (original) 
 August 1996 (reprint)","Jessi also learns that Katie Beth's sister, Adele is deaf, but she and her family don't communicate sign language with her. After learning that Matt has never been to the theater, Jessi comes up with an idea to invite Matt's class to her opening night performance of ""Coppelia."" During the play, Haley narrates the story while Mrs. Braddock translates it."
"1585612689-841","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Jessi%27s_Wish","https://babysittersclub.fandom.com/wiki/Jessi%27s_Wish","Jessi's Wish","The Baby-Sitters Club","48","Ann M. Martin","Hodges Soileau","Do wishes really come true?","October 1991","Dear Reader,"
"1585612366-315","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/New_York,_New_York!","https://babysittersclub.fandom.com/wiki/New_York,_New_York!","New York, New York!","Super Special","6","Ann M. Martin","Hodges Soileau (cover art) 
 Henry R. Martin (interior art)","They're not sleeping until they see all of it —","June 1991","In between shopping and seeing the sights, the Baby-sitters manage to have plenty of excitement. Jessi meets a boy ballerina, Claudia and Mallory take fancy art lessons, and Kristy makes a special friend. Dawn eats her way through the city, and Stacey and Mary Anne have a baby-sitting mystery!"
"1585612980-1413","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Boy-Crazy_Stacey","https://babysittersclub.fandom.com/wiki/Boy-Crazy_Stacey","Boy-Crazy Stacey","The Baby-Sitters Club","8","Ann M. Martin","Hodges Soileau","Who needs baby-sitting when there are boys around!","November 1987 (original)
 December 1995 (reprint)
 July 7, 2020 (reprint)","Dear Reader,"
"1585612869-1205","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia%27s_Big_Party","https://babysittersclub.fandom.com/wiki/Claudia%27s_Big_Party","Claudia's Big Party","The Baby-Sitters Club","123","Ann M. Martin, Vicki Berger Erwin","Hodges Soileau","Someone's gonna pay for this...","October 1998","Dear Reader,"
"1585612384-346","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mary_Anne%27s_Big_Breakup","https://babysittersclub.fandom.com/wiki/Mary_Anne%27s_Big_Breakup","Mary Anne's Big Breakup","Baby-sitters Club: Friends Forever","3","Ann M. Martin, Suzanne Weyn","null","null","October 1999","It's the end of Mary-Anne-and-Logan. And it's the beginning of the new Mary Anne."
