web-scraper-order,web-scraper-start-url,pagelink,pagelink-href
"1585280073-259","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Category:Mystery books","https://babysittersclub.fandom.com/wiki/Category:Mystery_books"
"1585280073-218","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy's Big Day","https://babysittersclub.fandom.com/wiki/Kristy%27s_Big_Day"
"1585280059-82","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Stacey and the Mystery Money","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Mystery_Money"
"1585280073-186","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Jessi and the Troublemaker","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Troublemaker"
"1585280066-105","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","Snowbound","https://babysittersclub.fandom.com/wiki/Snowbound"
"1585280050-44","https://babysittersclub.fandom.com/wiki/Category:Portrait_Collection_books","Kristy's Book","https://babysittersclub.fandom.com/wiki/Kristy%27s_Book"
"1585280073-245","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne and the Secret in the Attic","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Secret_in_the_Attic"
"1585280073-216","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy in Charge","https://babysittersclub.fandom.com/wiki/Kristy_in_Charge"
"1585280066-98","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","Karen's Campout","https://babysittersclub.fandom.com/wiki/Karen%27s_Campout"
"1585280059-61","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Jessi and the Jewel Thieves","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Jewel_Thieves"
"1585280073-251","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne Misses Logan","https://babysittersclub.fandom.com/wiki/Mary_Anne_Misses_Logan"
"1585280036-14","https://babysittersclub.fandom.com/wiki/Category:California_Diaries_series","Dawn (California Diaries)","https://babysittersclub.fandom.com/wiki/Dawn_(California_Diaries)"
"1585280043-37","https://babysittersclub.fandom.com/wiki/Category:Friends_Forever_series","Stacey and the Boyfriend Trap","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Boyfriend_Trap"
"1585280073-115","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","36. La gardienne de Jessie.","https://babysittersclub.fandom.com/wiki/36._La_gardienne_de_Jessie."
"1585280073-126","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Beware, Dawn","https://babysittersclub.fandom.com/wiki/Beware,_Dawn"
"1585280073-265","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey and the Fashion Victim","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Fashion_Victim"
"1585280036-17","https://babysittersclub.fandom.com/wiki/Category:California_Diaries_series","Ducky (California Diaries)","https://babysittersclub.fandom.com/wiki/Ducky_(California_Diaries)"
"1585280073-215","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy for President","https://babysittersclub.fandom.com/wiki/Kristy_for_President"
"1585280073-291","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","The Fire at Mary Anne's House","https://babysittersclub.fandom.com/wiki/The_Fire_at_Mary_Anne%27s_House"
"1585280066-106","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","Starring the Baby-sitters Club!","https://babysittersclub.fandom.com/wiki/Starring_the_Baby-sitters_Club!"
"1585280050-47","https://babysittersclub.fandom.com/wiki/Category:Portrait_Collection_books","Stacey's Book","https://babysittersclub.fandom.com/wiki/Stacey%27s_Book"
"1585280073-242","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne and the Music Box Secret","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Music_Box_Secret"
"1585280073-120","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Category:Abby books","https://babysittersclub.fandom.com/wiki/Category:Abby_books"
"1585280073-275","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey the Math Whiz","https://babysittersclub.fandom.com/wiki/Stacey_the_Math_Whiz"
"1585280073-155","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn and the Disappearing Dogs","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Disappearing_Dogs"
"1585280029-9","https://babysittersclub.fandom.com/wiki/Category:Readers%27_Request_books","Shannon’s Story","https://babysittersclub.fandom.com/wiki/Shannon%E2%80%99s_Story"
"1585280073-144","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the Recipe for Danger","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Recipe_for_Danger"
"1585280073-179","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","How to Cosplay as Mary Anne Spier from the BSC (both strict dad style and remarried dad style)","https://babysittersclub.fandom.com/wiki/How_to_Cosplay_as_Mary_Anne_Spier_from_the_BSC_(both_strict_dad_style_and_remarried_dad_style)"
"1585280073-158","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn and the Older Boy","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Older_Boy"
"1585280050-42","https://babysittersclub.fandom.com/wiki/Category:Portrait_Collection_books","Claudia's Book","https://babysittersclub.fandom.com/wiki/Claudia%27s_Book"
"1585280073-166","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn Schafer, Undercover Baby-sitter","https://babysittersclub.fandom.com/wiki/Dawn_Schafer,_Undercover_Baby-sitter"
"1585280073-152","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia's Freind Friend","https://babysittersclub.fandom.com/wiki/Claudia%27s_Freind_Friend"
"1585280073-172","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Farewell, Dawn","https://babysittersclub.fandom.com/wiki/Farewell,_Dawn"
"1585280059-63","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Kristy and the Haunted Mansion","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Haunted_Mansion"
"1585280073-241","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne and the Memory Garden","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Memory_Garden"
"1585280073-127","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Boy-Crazy Stacey","https://babysittersclub.fandom.com/wiki/Boy-Crazy_Stacey"
"1585280059-67","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Kristy and the Mystery Train","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Mystery_Train"
"1585280073-134","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the Genius of Elm Street","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Genius_of_Elm_Street"
"1585280073-268","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey and the Mystery at the Empty House","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Mystery_at_the_Empty_House"
"1585280073-227","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mallory and the Mystery Diary","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Mystery_Diary"
"1585280043-40","https://babysittersclub.fandom.com/wiki/Category:Friends_Forever_series","Welcome Home, Mary Anne","https://babysittersclub.fandom.com/wiki/Welcome_Home,_Mary_Anne"
